,id_indicador,id_medico,score,pontuacao,pontuacao_arredondada,nome_indicador
0,1,unidade,,1.1666666666666667,1.0,2013.001.01 FL - Proporção de consultas realizadas pelo MF
1,2,unidade,,0.9166666666666666,1.0,2013.002.01 FL - Taxa de utilização global de consultas médicas
2,3,unidade,,0.3333333333333333,0.0,2013.003.01 FL - Taxa de domicílios médicos por 1.000 inscritos
3,5,unidade,,0.25,0.0,2013.005.01 FL - Proporção de consultas realizadas pelo EF
4,6,unidade,,1.0,1.0,2013.006.01 FL - Taxa de utilização de consultas médicas - 3 anos
5,8,unidade,,0.75,1.0,2013.008.01 FL - Taxa de utilização de consultas de PF (méd./enf.)
6,9,unidade,,0.8333333333333334,1.0,2013.009.01 FL - Taxa de utilização de consultas de PF (enf.)
7,10,unidade,,0.6666666666666666,1.0,2013.010.01 FL - Taxa de utilização de consultas de PF (méd.)
8,11,unidade,,1.0,1.0,2013.011.01 FL - Proporção gráv. c/ consulta méd. vigil. 1º trim.
9,14,unidade,,0.75,1.0,2013.014.01 FL - Proporção RN c/ cons. méd. vigil. até 28 dias vida
10,15,unidade,,0.08333333333333333,0.0,2013.015.01 FL - Proporção RN c/ domicílio enf. até 15º dia de vida
11,16,unidade,,1.0,1.0,2013.016.01 FL - Proporção crianças c/ 6+ cons. méd. vigil. 1º ano
12,17,unidade,,0.6666666666666666,1.0,2013.017.01 FL - Proporção crianças c/ 3+ cons. méd. vigil. 2º ano
13,18,unidade,,1.0,1.0,2013.018.01 FL - Proporção de hipertensos com IMC (12 meses)
14,19,unidade,,0.3333333333333333,0.0,2013.019.01 FL - Proporção de hipertensos com PA em cada semestre
15,20,unidade,,0.5,0.0,"2013.020.01 FL - Proporção hipertensos < 65 A, com PA < 150/90"
16,23,unidade,,0.08333333333333333,0.0,2013.023.01 FL - Proporção hipertensos com risco CV (3 A)
17,30,unidade,,2.0,2.0,"2013.030.01 FL - Proporção idosos ou doença crónica, c/ vac. gripe"
18,31,unidade,,0.75,1.0,"2013.031.01 FL - Proporção crianças 7A, c/ peso e altura [5; 7[A"
19,32,unidade,,0.5833333333333334,1.0,"2013.032.01 FL - Proporção jovens 14A, c/ peso e altura [11; 14[A"
20,33,unidade,,1.0,1.0,"2013.033.01 FL - Proporção utentes >= 14A, c/ IMC últimos 3 anos"
21,34,unidade,,0.0,0.0,"2013.034.01 FL - Proporção obesos >=14A, c/ cons. vigil. obesid. 2A"
22,35,unidade,,0.4166666666666667,0.0,2013.035.01 FL - Proporção DM com exame pés último ano
23,36,unidade,,1.1666666666666667,1.0,2013.036.01 FL - Proporção utentes DM com registo de GRT
24,37,unidade,,0.5,0.0,2013.037.01 FL - Proporção DM c/ cons. enf. vigil. DM último ano
25,38,unidade,,0.5833333333333334,1.0,2013.038.01 FL - Proporção DM c/ 1 HbA1c por semestre
26,39,unidade,,1.0833333333333333,1.0,"2013.039.01 FL - Proporção DM c/ última HbA1c <= 8,0%"
27,40,unidade,,0.0,0.0,2013.040.01 FL - Proporção DM c/ exame oftalmológico último ano
28,44,unidade,,0.9166666666666666,1.0,"2013.044.01 FL - Proporção mulheres [50; 70[ A, c/ mamogr. (2 anos)"
29,45,unidade,,0.25,0.0,2013.045.01 FL - Prop. mulheres 25-60 anos c/ rastr. c. colo út.
30,46,unidade,,0.8333333333333334,1.0,"2013.046.01 FL - Proporção utentes [50; 75[A, c/ rastreio cancro CR"
31,49,unidade,,0.5,0.0,"2013.049.01 FL - Proporção utentes c/ DPOC, c/ FeV1 em 3 anos"
32,53,unidade,,0.6666666666666666,1.0,"2013.053.01 FL - Proporção utentes >=14A, c/ registo consumo álcool"
33,54,unidade,,1.0833333333333333,1.0,"2013.054.01 FL - Proporção utentes consum. álcool, c/ consulta 3A"
34,57,unidade,,1.9166666666666667,2.0,2013.057.01 FL - Proporção RN com TSHPKU realizado até ao 6º dia
35,59,unidade,,1.25,1.0,"2013.059.01 FL - Proporção crianças 2 anos, c/ peso e altura 1 ano"
36,63,unidade,,0.5833333333333334,1.0,"2013.063.01 FL - Proporção crianças 7A, c/ cons. méd. vig. e PNV"
37,91,unidade,,1.0833333333333333,1.0,"2013.091.01 FL - Proporção DM < 65 A, c/ HbA1c <= 6,5 %"
38,92,unidade,,0.0,0.0,2013.092.01 FL - Proporção hipocoagulados controlados na unidade
39,93,unidade,,2.0,2.0,"2013.093.01 FL - Proporção crianças 2A, c/ PNV cumprido ou execução"
40,94,unidade,,1.3333333333333333,1.0,"2013.094.01 FL - Proporção crianças 7A, c/ PNV cumprido ou execução"
41,95,unidade,,1.6666666666666667,2.0,"2013.095.01 FL - Proporção jovens 14A, c/ PNV cumprido ou execução"
42,97,unidade,,1.1666666666666667,1.0,2013.097.01 FL - Proporção DM c/ microalbum. último ano
43,98,unidade,,1.5833333333333333,2.0,"2013.098.01 FL - Proporção utentes >= 25 A, c/ vacina tétano"
44,99,unidade,,0.0,0.0,2013.099.01 FL - Taxa utilização consultas de enfermagem - 3 anos
45,100,unidade,,0.3333333333333333,0.0,2013.100.01 FL - Taxa utiliz. consultas médicas ou enferm. - 3 anos
46,261,unidade,,0.4166666666666667,0.0,2013.261.01 FL - Proporção utentes DM c/ aval. risco úlcera pé
47,262,unidade,,0.0,0.0,2013.262.01 FL - Proporção utentes com avaliação risco DM2 (3A)
48,265,unidade,,1.75,2.0,"2013.265.01 FL - Percent. DM vigiado, c/ registo risco úlcera pé"
49,266,unidade,,2.0,2.0,"2013.266.01 FL - Percent. DM vigiados, c/ úlcera ativa no pé"
50,267,unidade,,0.5,0.0,"2013.267.01 FL - Índice de acompanhamento adequado em PF, nas MIF"
51,269,unidade,,0.6666666666666666,1.0,2013.269.01 FL - Índice de acompanham. adequado s. infantil 2º ano
52,270,unidade,,1.6666666666666667,2.0,2013.270.01 FL - Índice de acompanham. adequado em saúde materna
53,271,unidade,,1.0,1.0,2013.271.01 FL - Índice de acompanhamento adequado utentes DM
54,272,unidade,,0.6666666666666666,1.0,2013.272.01 FL - Índice de acompanham. adequado de hipertensos
55,274,unidade,,1.1666666666666667,1.0,"2013.274.01 FL - Propor. DM2 c/ indic. insul., em terap. adequada"
56,275,unidade,,1.0833333333333333,1.0,2013.275.01 FL - Proporção novos DM2 em terap. c/ metform. monot.
57,276,unidade,,1.75,2.0,2013.276.01 FL - Rácio DDD prescrita DPP-4 e antidiabét. orais
58,277,unidade,,1.3333333333333333,1.0,"2013.277.01 FL - Proporção fumadores, c/ consulta relac. tabaco 1A"
59,278,unidade,,1.5833333333333333,2.0,2013.278.01 FL - Propor. medicam. prescr. de classes com genéricos
60,294,unidade,,0.08333333333333333,0.0,2013.294.01 FL - Taxa domicílios enferm. p/ 1000 inscritos idosos
61,295,unidade,,0.5,0.0,2013.295.01 FL - Propor. puérp. 5+ cons. vig. enf. grav. e c/ RP
62,297,unidade,,1.5833333333333333,2.0,2013.297.01 FL - Prop. idosos s/ presc. prol. ansiol/sedat/hipnót
63,300,unidade,,0.75,1.0,"2013.300.01 FL - Nº médio prescr. consulta fisiatria, p/ utiliz."
64,302,unidade,,1.0833333333333333,1.0,2013.302.01 FL - Índice de acompanham. adequado s. infantil 1º ano
65,306,unidade,,0.75,1.0,2015.306.01 FL - Propor. ute. s/ rastr. VIH/SIDA que o efetuaram
66,307,unidade,,1.0833333333333333,1.0,2015.307.01 FL - Proporção grávidas com ecografia 1º trimestre
67,308,unidade,,1.4166666666666667,1.0,2015.308.01 FL - Proporção grávidas com ecografia 2º trimestre
68,309,unidade,,1.25,1.0,2015.309.01 FL - Proporção grávidas com ecografia 3º trimestre
69,310,unidade,,1.25,1.0,2015.310.01 FL - Índice realização exames laborat. 1º trim. grav.
70,311,unidade,,1.3333333333333333,1.0,2015.311.01 FL - Índice realização exames laborat. 2º trim. grav.
71,312,unidade,,1.75,2.0,2015.312.01 FL - Índice realização exames laborat. 3º trim. grav.
72,313,unidade,,0.6666666666666666,1.0,"2015.313.01 FL - Proporção DM < 75A c/ última HbA1c > 8,0%"
73,314,unidade,,0.6666666666666666,1.0,2015.314.01 FL - Proporção DM com PA >= 140/90 mmHg
74,315,unidade,,1.6666666666666667,2.0,2015.315.01 FL - Proporção DM com C-LDL < 100 mg/dl
75,316,unidade,,1.0833333333333333,1.0,"2015.316.01 FL - Proporção hipert. [18; 65[A, com PA < 140/90"
76,330,unidade,,0.5,0.0,2017.330.01 FL - Índice de utilização anual de consultas médicas
77,331,unidade,,0.0,0.0,2017.331.01 FL - Índice de utilização anual de consultas enferm.
78,335,unidade,,2.0,2.0,2017.335.01 FL - Prop. cons. ind. receit. c/ resposta 3 dias úteis
79,342,unidade,,1.0,1.0,2017.342.01 FL - Proporção consul. méd. inic. ut. <= 15 dias úteis
80,344,unidade,,1.4166666666666667,1.0,2017.344.01 FL - Propor. consultas médicas realiz. no dia agendam.
81,345,unidade,,2.0,2.0,2017.345.01 FL - Propor. consul. enfer. realiz. no dia do agendam.
82,346,unidade,,1.6666666666666667,2.0,2017.346.01 FL - Propor. consul. realiz. intervalo [8; 11[h (Q1)
83,347,unidade,,0.5833333333333334,1.0,2017.347.01 FL - Propor. consul. realiz. intervalo [11; 14[h (Q2)
84,348,unidade,,1.5833333333333333,2.0,2017.348.01 FL - Propor. consul. realiz. intervalo [14; 17[ (Q3)
85,349,unidade,,0.08333333333333333,0.0,2017.349.01 FL - Propor. consul. realiz. intervalo [17; 20]h (Q4)
86,350,unidade,,0.0,0.0,2017.350.01 FL - Custo c/ terapêut. do doente c/ Diabetes Mellitus
87,351,unidade,,0.0,0.0,2017.351.01 FL - Custo c/ terap. doente c/ Diab. Mell. controlado
88,352,unidade,,1.1666666666666667,1.0,2017.352.01 FL - Custo c/ terapêut. do doente c/ HTA
89,353,unidade,,0.8333333333333334,1.0,2017.353.01 FL - Custo c/ terapêut. do doente c/ HTA controlada
90,375,unidade,,1.6666666666666667,2.0,"2017.375.01 FL - Proporção de RN de termo, de baixo peso"
91,395,unidade,,0.3333333333333333,0.0,"2018.395.01 FL - Prop. uten. >= 15 anos, c/ reg. hábit. tabág. 3A"
92,397,unidade,,0.5,0.0,2018.397.01 FL - Prop. fumador c/ int. breve ou muito breve 1 ano
93,398,unidade,,0.18181818181818182,0.0,2018.398.01 FL - Prop. gráv. fumad. c/ int. breve ou mt. breve 1ºT
94,404,unidade,,0.08333333333333333,0.0,2018.404.01 FL - Incidência anual de pessoas em abstin. tabág. 12M
95,405,unidade,,0.5833333333333334,1.0,"2018.405.01 FL - Propor. cons. médic. ""do dia"" efet. UF diferente"
96,427,unidade,,0.5,0.0,2019.427.01 FL - Proporção de grávidas com parto por cesariana
